,Player,Team,Pos,1st Pick Value,Starter Value,Inc 1st Pick,PAR,PAS,FantasyPoints
56,Brett Hundley,ARI,QB,-82.01,-67.84,-14.170000000000002,-237.6,-289.94166666666666,7.9
57,Matt Schaub,ATL,QB,-82.01,-67.84,-14.170000000000002,-237.6,-289.94166666666666,7.9
58,AJ McCarron,HOU,QB,-82.08,-67.9,-14.179999999999993,-237.8,-290.14166666666665,7.7
59,Jake Fromm,BUF,QB,-82.11,-67.93,-14.179999999999993,-237.9,-290.2416666666666,7.6
60,Sean Mannion,MIN,QB,-82.25,-68.04,-14.209999999999994,-238.3,-290.64166666666665,7.2
61,Chase Daniel,DET,QB,-82.32,-68.1,-14.219999999999999,-238.5,-290.84166666666664,7.0
62,Matt Barkley,BUF,QB,-82.39,-68.16,-14.230000000000004,-238.7,-291.04166666666663,6.8
63,Andy Dalton,DAL,QB,-82.39,-68.16,-14.230000000000004,-238.7,-291.04166666666663,6.8
64,Chad Henne,KC,QB,-82.49,-68.24,-14.25,-239.0,-291.34166666666664,6.5
65,Jacoby Brissett,IND,QB,-82.52,-68.27,-14.25,-239.1,-291.44166666666666,6.4
66,Nick Mullens,SF,QB,-82.59,-68.33,-14.260000000000005,-239.3,-291.64166666666665,6.2
67,Joe Flacco,NYJ,QB,-82.8,-68.5,-14.299999999999997,-239.9,-292.2416666666666,5.6
68,Garrett Gilbert,CLE,QB,-82.97,-68.64,-14.329999999999998,-240.4,-292.7416666666666,5.1
69,David Blough,DET,QB,-83.01,-68.67,-14.340000000000003,-240.5,-292.84166666666664,5.0
70,Mike Glennon,JAC,QB,-83.63,-69.18,-14.449999999999989,-242.3,-294.64166666666665,3.2
72,Josh Rosen,MIA,QB,-83.77,-69.3,-14.469999999999999,-242.7,-295.04166666666663,2.8
71,Jacob Eason,IND,QB,-83.77,-69.3,-14.469999999999999,-242.7,-295.04166666666663,2.8
73,James Morgan,NYJ,QB,-83.94,-69.44,-14.5,-243.2,-295.54166666666663,2.3
74,David Fales,NYJ,QB,-84.7,-70.07,-14.63000000000001,-245.4,-297.7416666666666,0.1
85,Clayton Thorson,DAL,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
86,Tim Boyle,GB,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
87,Devlin Hodges,PIT,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
88,Cooper Rush,NYG,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
89,Paxton Lynch,PIT,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
90,C.J. Beathard,SF,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
102,Easton Stick,LAC,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
79,Nate Stanley,MIN,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
91,Nate Sudfeld,PHI,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
92,Tyler Bray,CHI,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
84,Mike White,NYJ,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
101,Trace McSorley,BAL,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
100,Chad Kelly,IND,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
99,Nathan Peterman,LV,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
98,Ryan Griffin,TB,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
97,Kyle Lauletta,PHI,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
82,Davis Webb,BUF,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
81,Danny Etling,ATL,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
80,Alex Smith,WAS,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
78,Jake Luton,JAC,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
77,Brett Rypien,DEN,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
76,Tommy Stevens,NO,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
75,Anthony Gordon,SEA,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
96,Matt Moore,KC,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
95,Alex Tanney,NYG,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
94,Ben DiNucci,DAL,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
93,Brian Hoyer,NE,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
83,Alex McGough,HOU,QB,-84.73,-70.1,-14.63000000000001,-245.5,-297.84166666666664,0.0
